Iteration,Temp,Cost
0,150,41
1,150.0,41
2,148.5060876127944,40
3,147.0241025982336,40
4,145.55397339236887,42
5,144.09562871808032,43
6,142.648997584501,41
7,141.2140092864409,40
8,139.790593403811,40
9,138.37867980104727,40
10,136.9781986265349,43
11,135.589080312032,44
12,134.21125557209393,44
13,132.84465540349723,46
14,131.48921108466362,44
15,130.1448541750841,44
16,128.811516514743,43
17,127.48913022354195,47
18,126.17762770072396,47
19,124.87694162429749,49
20,123.58700495046037,51
21,122.30775091302401,49
22,121.03911302283733,51
23,119.78102506721076,51
24,118.53342110934044,51
25,117.29623548773205,47
26,116.06940281562501,45
27,114.85285798041645,45
28,113.64653614308526,47
29,112.45037273761612,46
30,111.26430347042358,46
31,110.088264319776,45
32,108.92219153521974,46
33,107.76602163700304,47
34,106.61969141550013,47
35,105.48313793063535,49
36,104.35629851130702,48
37,103.23911075481158,48
38,102.13151252626767,47
39,101.03344195804007,47
40,99.94483744916376,47
41,98.86563766476802,47
42,97.7957815355004,49
43,96.7352082569508,48
44,95.6838572890755,46
45,94.6416683556212,47
46,93.60858144354901,46
47,92.58453680245857,47
48,91.56947494401201,45
49,90.56333664135808,44
50,89.5660629285561,42
51,88.57759510000001,44
52,87.59787470984249,42
53,86.6268435714189,41
54,85.66444375667137,45
55,84.71061759557281,44
56,83.765307675551,43
57,82.82845684091258,44
58,81.90000819226707,45
59,80.97990508595099,44
60,80.06809113345179,46
61,79.16451020083201,45
62,78.26910640815322,44
63,77.38182412890012,46
64,76.50260798940451,46
65,75.63140286826939,43
66,74.768153895793,41
67,73.91280645339283,42
68,73.06530617302964,45
69,72.22559893663156,46
70,71.39363087551804,47
71,70.56934836982401,48
72,69.7526980479238,45
73,68.94362678585526,47
74,68.14208170674371,49
75,67.34801018022613,51
76,66.56135982187502,49
77,65.78207849262253,48
78,65.01011429818453,47
79,64.2454155884846,47
80,63.48793095707805,49
81,62.737609240576,51
82,61.99439951806941,50
83,61.2582511105531,49
84,60.52911358034981,50
85,59.80693673053422,50
86,59.091670604357006,50
87,58.383265484668854,52
88,57.68167189334455,51
89,56.98684059070693,49
90,56.29872257495103,49
91,55.617269081568,51
92,54.94243158276927,52
93,54.274161786910476,51
94,53.612411637915585,53
95,52.95713331470087,54
96,52.308279230599,55
97,51.665802032783034,55
98,51.02965460169048,56
99,50.39979005044735,53
100,49.776161724292166,53
101,49.158723200000004,51
102,48.547428285306566,51
103,47.94223101833217,49
104,47.34308566700584,47
105,46.749946728489284,46
106,46.162768928601,45
107,45.581507221240244,44
108,45.00611678781114,43
109,44.43655303664664,41
110,43.87277160243266,42
111,43.314728345632,42
112,42.76237935190849,42
113,42.21568093155099,42
114,41.67458961889737,43
115,41.13906217175866,42
116,40.609055570843005,42
117,40.08452701917971,43
118,39.56543394154331,45
119,39.051733983877625,48
120,38.54338501271971,50
121,38.040345114624,47
122,37.54257259558627,50
123,37.05002598046772,48
124,36.56266401241899,47
125,36.0804456523042,48
126,35.603330078125,48
127,35.1312766844446,46
128,34.66424508181181,46
129,34.20219509618508,45
130,33.74508676835653,45
131,33.292880353376,46
132,32.84553631997509,46
133,32.40301534999118,47
134,31.96527833779149,44
135,31.5322863896971,42
136,31.104000823407002,42
137,30.68038316742214,42
138,30.26139516046943,42
139,29.846998750925817,42
140,29.437156096242308,45
141,29.031829562368003,43
142,28.630981723174145,45
143,28.234575359878157,43
144,27.842573460467666,43
145,27.454939219124554,45
146,27.071636035649,45
147,26.692627514883515,46
148,26.317877466136963,46
149,25.947349902608636,44
150,25.58100904081224,45
151,25.218819300000003,47
152,24.860745301586643,47
153,24.506751868573453,48
154,24.15680402497232,47
155,23.81086699522977,47
156,23.468906203651002,45
157,23.130887273823934,42
158,22.796776028043222,39
159,22.46653848673433,37
160,22.14014086787754,37
161,21.817549586432005,36
162,21.49873125375978,37
163,21.18365267704987,37
164,20.872280858742258,37
165,20.564582995951948,38
166,20.260526479893002,38
167,19.960078895302587,41
168,19.663208019864996,40
169,19.369881823635705,39
170,19.080068468465395,41
171,18.793736307424005,42
172,18.510853884224755,42
173,18.231389932648206,40
174,17.955313375966274,39
175,17.68259332636628,39
176,17.413199084375,40
177,17.14710013828268,40
178,16.88426616356709,41
179,16.62466702231756,41
180,16.36827276265901,43
181,16.115053618176002,44
182,15.864980007336769,46
183,15.618022532917259,45
184,15.374151981425166,45
185,15.133339322523977,45
186,14.895555708457,45
187,14.660772473471416,45
188,14.428961133242307,46
189,14.200093384296693,44
190,13.974141103437585,43
191,13.751076347168002,43
192,13.530871351115024,44
193,13.313498529453835,42
194,13.098930474331743,43
195,12.887139955292232,41
196,12.678099918699,41
197,12.471783487159993,42
198,12.268163958951444,41
199,12.06721480744191,39
200,11.86890968051632,39
201,11.6732224,38
202,11.480126961082721,38
203,11.28959753174273,41
204,11.1016084521708,41
205,10.91613423419425,41
206,10.733149560701001,44
207,10.552629285063608,44
208,10.374548430563298,45
209,10.198882189814006,44
210,10.025605924186417,44
211,9.854695163232,45
212,9.686125604107056,45
213,9.519873110996746,45
214,9.355913714539135,47
215,9.194223611249223,45
216,9.034779162943,47
217,8.877556896161465,47
218,8.722533501594674,45
219,8.569685833505782,48
220,8.418990909155072,48
221,8.270425908224,46
222,8.123968172239232,45
223,7.979595203996682,47
224,7.83728466698555,47
225,7.69701438481236,48
226,7.558762340625001,48
227,7.422506676536761,51
228,7.288225693050371,49
229,7.155897848482038,50
230,7.025501758385488,50
231,6.8970161949760005,48
232,6.770420086554449,49
233,6.645692516931338,46
234,6.522812724850845,49
235,6.401760103414856,51
236,6.282514199507,49
237,6.165054713216697,47
238,6.0493614972631855,47
239,5.935414556419574,47
240,5.823194046936864,48
241,5.712680275967999,47
242,5.6038537009919045,46
243,5.496694929237514,44
244,5.391184717107822,42
245,5.287303969603912,42
246,5.1850337397490005,43
247,5.084355228012472,43
248,4.985249781733922,41
249,4.8876988945471895,40
250,4.7916842058044,39
251,4.6971875,38
252,4.6041907061948,38
253,4.51267589744001,38
254,4.422625290201278,39
255,4.334021243782727,38
256,4.246846259751,36
257,4.1610829813592884,38
258,4.076714192971378,37
259,3.9937228194856855,39
260,3.912091925759296,39
261,3.831804716032,41
262,3.752844533350336,41
263,3.675194858991626,41
264,3.5988393118880135,39
265,3.5237616480505034,41
266,3.4499457599929997,42
267,3.3773756761563445,42
268,3.3060355603323544,40
269,3.2359097110878614,39
270,3.166982561188752,38
271,3.099238677024,39
272,3.032662758029712,39
