Iteration,Temp,Cost
0,150,43
1,150.0,47
2,149.2515484008498,49
3,148.5060876127944,47
4,147.7636086634095,45
5,147.0241025982336,46
6,146.28756048075002,48
7,145.55397339236887,49
8,144.82333243240907,48
9,144.09562871808032,45
10,143.3708533844652,44
11,142.648997584501,41
12,141.9300524889619,40
13,141.2140092864409,41
14,140.50085918333173,42
15,139.790593403811,44
16,139.0832031898201,46
17,138.37867980104727,46
18,137.67701451490962,44
19,136.9781986265349,46
20,136.28222344874385,46
21,135.589080312032,45
22,134.89876056455165,42
23,134.21125557209393,41
24,133.52655671807088,43
25,132.84465540349723,44
26,132.16554304697266,45
27,131.48921108466362,46
28,130.8156509702854,46
29,130.1448541750841,48
30,129.47681218781872,45
31,128.811516514743,45
32,128.1489586795876,44
33,127.48913022354195,45
34,126.83202270523637,44
35,126.17762770072396,46
36,125.52593680346273,47
37,124.87694162429749,48
38,124.23063379144185,48
39,123.58700495046037,50
40,122.94604676425035,46
41,122.30775091302401,46
42,121.67210909429038,45
43,121.03911302283733,44
44,120.4087544307136,45
45,119.78102506721076,45
46,119.15591669884529,45
47,118.53342110934044,44
48,117.91353009960835,43
49,117.29623548773205,43
50,116.68152910894736,42
51,116.06940281562501,44
52,115.45984847725256,44
53,114.85285798041645,44
54,114.24842322878398,44
55,113.64653614308526,43
56,113.04718866109536,43
57,112.45037273761612,42
58,111.85608034445832,41
59,111.26430347042358,42
60,110.67503412128636,42
61,110.088264319776,42
62,109.50398610555877,39
63,108.92219153521974,39
64,108.34287268224489,38
65,107.76602163700304,38
66,107.19163050672792,40
67,106.61969141550013,42
68,106.05019650422916,42
69,105.48313793063535,44
70,104.91850786923193,42
71,104.35629851130702,42
72,103.79650206490561,42
73,103.23911075481158,42
74,102.68411682252973,44
75,102.13151252626767,44
76,101.58129014091799,43
77,101.03344195804007,42
78,100.48796028584226,43
79,99.94483744916376,43
80,99.40406578945668,44
81,98.86563766476802,45
82,98.32954544972166,46
83,97.7957815355004,45
84,97.26433832982792,46
85,96.7352082569508,47
86,96.20838375762054,48
87,95.6838572890755,49
88,95.161621325023,49
89,94.6416683556212,49
90,94.1239908874612,50
91,93.60858144354901,50
92,93.09543256328753,47
93,92.58453680245857,45
94,92.07588673320485,46
95,91.56947494401201,44
96,91.06529403969061,45
97,90.56333664135808,47
98,90.06359538642081,46
99,89.5660629285561,42
100,89.07073193769412,43
101,88.57759510000001,39
102,88.08664511785581,41
103,87.59787470984249,41
104,87.11127661072192,39
105,86.6268435714189,39
106,86.14456835900317,40
107,85.66444375667137,40
108,85.1864625637291,42
109,84.71061759557281,41
110,84.236901683672,40
111,83.765307675551,41
112,83.29582843477112,41
113,82.82845684091258,38
114,82.36318578955652,39
115,81.90000819226707,42
116,81.43891697657324,41
117,80.97990508595099,42
118,80.52296547980521,44
119,80.06809113345179,46
120,79.61527503809947,46
121,79.16451020083201,47
122,78.71578964459006,49
123,78.26910640815322,49
124,77.82445354612207,49
125,77.38182412890012,47
126,76.94121124267579,46
127,76.50260798940451,46
128,76.0660074867906,45
129,75.63140286826939,46
130,75.19878728298912,49
131,74.768153895793,47
132,74.33949588720121,49
133,73.91280645339283,48
134,73.48807880618797,46
135,73.06530617302964,45
136,72.64448179696585,47
137,72.22559893663156,47
138,71.80865086623065,48
139,71.39363087551804,46
140,70.98053226978155,46
141,70.56934836982401,46
142,70.16007251194517,45
143,69.7526980479238,43
144,69.34721834499959,44
145,68.94362678585526,43
146,68.54191676859841,42
147,68.14208170674371,46
148,67.74411502919476,44
149,67.34801018022613,46
150,66.95376061946537,45
151,66.56135982187502,45
152,66.17080127773457,45
153,65.78207849262253,45
154,65.39518498739837,43
155,65.01011429818453,42
156,64.62685997634848,41
157,64.2454155884846,42
158,63.865774716396324,43
159,63.48793095707805,44
160,63.11187792269715,44
161,62.737609240576,44
162,62.36511855317397,43
163,61.99439951806941,43
164,61.625445807941674,45
165,61.2582511105531,45
166,60.89280912873103,48
167,60.52911358034981,46
168,60.167158198312755,46
169,59.80693673053422,46
170,59.44844293992152,48
171,59.091670604357006,48
172,58.73661351668,45
173,58.383265484668854,47
174,58.03162033102292,47
175,57.68167189334455,46
176,57.3334140241211,48
177,56.98684059070693,47
178,56.64194547530545,46
179,56.29872257495103,46
180,55.95716580149107,46
181,55.617269081568,47
182,55.27902635660125,47
183,54.94243158276927,45
184,54.60747873099151,45
185,54.274161786910476,46
186,53.94247475087366,45
187,53.612411637915585,46
188,53.283966477739796,45
189,52.95713331470087,44
190,52.6319062077864,45
191,52.308279230599,45
192,51.98624647133832,46
193,51.665802032783034,45
194,51.34694003227284,46
195,51.02965460169048,45
196,50.71393988744372,45
197,50.39979005044735,45
198,50.08719926610521,46
199,49.776161724292166,45
200,49.46667162933611,42
201,49.158723200000004,42
202,48.85231066946381,43
203,48.547428285306566,46
204,48.24407030948831,47
205,47.94223101833217,46
206,47.64190470250628,47
207,47.34308566700584,47
208,47.04576823113508,50
209,46.749946728489284,52
210,46.455615506936795,53
211,46.162768928601,53
212,45.871401369842324,50
213,45.581507221240244,47
214,45.29308088757532,48
215,45.00611678781114,47
216,44.72060935507635,46
217,44.43655303664664,46
218,44.15394229392681,47
219,43.87277160243266,49
220,43.59303545177307,50
221,43.314728345632,51
222,43.03784480175045,51
223,42.76237935190849,49
224,42.48832654190727,48
225,42.21568093155099,48
226,41.94443709462891,49
227,41.67458961889737,48
228,41.4061331060618,47
229,41.13906217175866,46
230,40.87337144553752,46
231,40.609055570843005,45
232,40.3461092049968,47
233,40.08452701917971,46
234,39.824303698413566,47
235,39.56543394154331,46
236,39.307912461218976,47
237,39.051733983877625,44
238,38.79689324972545,43
239,38.54338501271971,44
240,38.29120404055075,40
241,38.040345114624,40
242,37.79080303004197,42
243,37.54257259558627,44
244,37.29564863369959,44
245,37.05002598046772,45
246,36.80569948560153,46
247,36.56266401241899,43
248,36.32091443782716,42
249,36.0804456523042,43
250,35.84125255988136,43
251,35.603330078125,41
252,35.366673138118564,40
253,35.1312766844446,40
254,34.897135675166766,41
255,34.66424508181181,42
256,34.43259988935159,43
257,34.20219509618508,44
258,33.97302571412033,44
259,33.74508676835653,45
260,33.518373297465956,45
261,33.292880353376,44
262,33.06860300135117,46
263,32.84553631997509,44
264,32.62367540113247,43
265,32.40301534999118,43
266,32.183551284984155,43
267,31.96527833779149,47
268,31.748191653322365,45
269,31.5322863896971,42
270,31.317557718229125,44
271,31.104000823407002,43
272,30.891610902876405,43
273,30.68038316742214,44
274,30.47031284095013,45
275,30.26139516046943,46
276,30.053625376074223,45
277,29.846998750925817,43
278,29.641510561234654,43
279,29.437156096242308,44
280,29.233930658203477,43
281,29.031829562368003,41
282,28.830848136962857,43
283,28.630981723174145,43
284,28.432225675129118,42
285,28.234575359878157,40
286,28.038026157376784,44
287,27.842573460467666,43
288,27.648212674862606,44
289,27.454939219124554,46
290,27.262748524649606,45
291,27.071636035649,47
292,26.881597209131126,48
293,26.692627514883515,47
294,26.504722435454852,47
295,26.317877466136963,47
296,26.132088114946846,47
297,25.947349902608636,47
298,25.763658362535615,46
299,25.58100904081224,48
300,25.39939749617612,48
301,25.218819300000003,46
302,25.039270036273816,46
303,24.860745301586643,46
304,24.68324070510872,46
305,24.506751868573453,45
306,24.33127442625941,47
307,24.15680402497232,49
308,23.98333632402709,48
309,23.81086699522977,48
310,23.639391722859607,47
311,23.468906203651002,48
312,23.299406146775528,45
313,23.130887273823934,44
314,22.96334531878813,46
315,22.796776028043222,45
316,22.631175160329473,45
317,22.46653848673433,44
318,22.302861790674417,42
319,22.14014086787754,40
320,21.97837152636468,42
321,21.817549586432005,39
322,21.657670880632857,41
323,21.49873125375978,39
324,21.340726562826482,39
325,21.18365267704987,38
326,21.027505477832033,39
327,20.872280858742258,41
328,20.71797472549901,41
329,20.564582995951948,42
330,20.412101600063927,41
331,20.260526479893002,43
332,20.109853589574406,42
333,19.960078895302587,40
334,19.81119837531317,40
335,19.663208019864996,40
336,19.516103831222093,40
337,19.369881823635705,40
338,19.224538023326257,40
339,19.080068468465395,40
340,18.936469209157963,41
341,18.793736307424005,42
342,18.65186583718078,41
343,18.510853884224755,43
344,18.3706965462136,46
345,18.231389932648206,45
346,18.092930164854657,48
347,17.955313375966274,48
348,17.818535710905568,45
349,17.68259332636628,45
350,17.54748239079537,44
351,17.413199084375,45
352,17.279739599004568,45
353,17.14710013828268,42
354,17.01527691748917,40
355,16.88426616356709,40
356,16.754064115104722,42
357,16.62466702231756,45
358,16.49607114703034,47
359,16.36827276265901,49
360,16.241268154192763,48
361,16.115053618176002,46
362,15.989625462690379,44
363,15.864980007336769,45
364,15.741113583217281,45
365,15.618022532917259,44
366,15.495703210487283,44
367,15.374151981425166,44
368,15.253365222657967,43
369,15.133339322523977,43
370,15.01407068075473,45
371,14.895555708457,45
372,14.777790828094808,45
373,14.660772473471416,46
374,14.544497089711331,47
375,14.428961133242307,45
376,14.314161071777344,46
377,14.200093384296693,46
378,14.086754561029858,47
379,13.974141103437585,45
380,13.86224952419388,47
381,13.751076347168002,49
382,13.640618107406459,48
383,13.530871351115024,47
384,13.421832635640722,47
385,13.313498529453835,45
386,13.205865612129907,47
387,13.098930474331743,47
388,12.992689717791407,49
389,12.887139955292232,48
390,12.78227781065081,46
391,12.678099918699,48
392,12.57460292526593,47
393,12.471783487159993,46
394,12.369638272150853,46
395,12.268163958951444,47
396,12.167357237199969,48
397,12.06721480744191,47
398,11.967733381112017,46
399,11.86890968051632,47
400,11.770740438814121,46
401,11.6732224,47
402,11.57635231888582,46
403,11.480126961082721,47
404,11.384543102983123,45
405,11.28959753174273,44
406,11.195287045262532,46
407,11.1016084521708,44
408,11.008558571805088,44
409,10.91613423419425,43
410,10.82433228004041,43
411,10.733149560701001,42
412,10.642582938170731,41
413,10.552629285063608,43
414,10.463285484594932,43
415,10.374548430563298,43
416,10.286415027332595,43
417,10.198882189814006,42
418,10.111946843448019,42
419,10.025605924186417,42
420,9.93985637847428,42
421,9.854695163232,43
422,9.770119245837261,43
423,9.686125604107056,41
424,9.602711226279684,41
425,9.519873110996746,39
426,9.437608267285155,37
427,9.355913714539135,37
428,9.27478648250221,34
429,9.194223611249223,36
430,9.114222151168331,38
431,9.034779162943,39
432,8.955891717534012,36
433,8.877556896161465,35
434,8.799771790286774,35
435,8.722533501594674,36
436,8.64583914197522,38
437,8.569685833505782,39
438,8.49407070843306,39
439,8.418990909155072,37
440,8.344443588203163,41
441,8.270425908224,41
442,8.196935041961583,41
443,8.123968172239232,42
444,8.051522491941604,41
445,7.979595203996682,43
446,7.908183521357781,42
447,7.83728466698555,40
448,7.76689587382997,40
449,7.69701438481236,40
450,7.627637452807373,39
451,7.558762340625001,38
452,7.490386320992573,39
453,7.422506676536761,39
454,7.355120699765575,39
455,7.288225693050371,40
456,7.2218189686078444,40
457,7.155897848482038,40
458,7.090459664526341,38
459,7.025501758385488,38
460,6.961021481477563,38
