Iteration,Temp,Cost
0,50,39
1,50.0,39
2,49.750549400349904,42
3,49.5020956047976,40
4,49.254635622933804,40
5,49.00816647033601,39
6,48.76268516856253,37
7,48.518188745146475,37
8,48.27467423358977,38
9,48.032138673357125,39
10,47.79057910987009,39
11,47.549992594501,39
12,47.310376184567005,41
13,47.07172694332409,41
14,46.83404193996101,40
15,46.59731824959338,40
16,46.36155295325759,41
17,46.12674313790488,43
18,45.8928858963953,41
19,45.65997832749169,43
20,45.42801753585376,45
21,45.197000632032,44
22,44.96692473246174,44
23,44.73778695945713,44
24,44.50958444120516,45
25,44.28231431175962,43
26,44.05597371103516,45
27,43.83055978480122,44
28,43.606069684676086,47
29,43.3825005681209,47
30,43.15984959843362,47
31,42.938113944743,48
32,42.71729078200269,46
33,42.49737729098514,44
34,42.278370658275655,44
35,42.060268076266354,44
36,41.84306674315022,46
37,41.62676386291506,48
38,41.41135664533754,46
39,41.19684230597715,45
40,40.983218066170245,45
41,40.770481153024,46
42,40.558628799410464,44
43,40.34765824396052,43
44,40.13756673105788,42
45,39.92835151083316,42
46,39.72000983915778,41
47,39.51253897763803,42
48,39.30593619360905,40
49,39.10019876012884,41
50,38.89532395597225,43
51,38.691309065625,45
52,38.48815137927765,43
53,38.285848192819635,44
54,38.08439680783326,44
55,37.88379453158765,45
56,37.684038677032845,43
57,37.48512656279372,41
58,37.28705551316402,41
59,37.08982285810037,43
60,36.89342593321624,44
61,36.697862079775994,44
62,36.50312864468886,41
63,36.30922298050292,41
64,36.11614244539917,41
65,35.92388440318542,38
66,35.73244622329041,39
67,35.54182528075772,40
68,35.35201895623985,40
69,35.16302463599214,38
70,34.974839711866814,39
71,34.787461581307,38
72,34.60088764734069,37
73,34.41511531857477,36
74,34.23014200918902,40
75,34.045965138930065,38
76,33.86258213310547,38
77,33.67999042257765,37
78,33.49818744375794,37
79,33.317170638600544,37
80,33.13693745459656,35
81,32.957485344768,35
82,32.77881176766174,36
83,32.600914187343584,37
84,32.423790073392205,39
85,32.24743690089319,38
86,32.07185215043303,37
87,31.897033308093103,37
88,31.722977865443696,40
89,31.549683319537994,42
90,31.3771471729061,44
91,31.205366933549005,43
92,31.03434011493262,42
93,30.864064235981758,42
94,30.69453682107414,44
95,30.525755400034406,43
96,30.357717508128097,45
97,30.19042068605567,42
98,30.023862479946505,45
99,29.858040441352884,44
100,29.69295212724401,45
101,29.5285951,45
102,29.36496692740591,43
103,29.202065182645683,42
104,29.039887444296212,43
105,28.878431296321295,44
106,28.71769432806566,45
107,28.557674134248963,44
108,28.39836831495978,42
109,28.239774475649607,40
110,28.081890227126898,42
111,27.924713185551,41
112,27.768240972426216,43
113,27.61247121459577,42
114,27.45740154423582,42
115,27.30302959884946,45
116,27.149353021260723,43
117,26.99636945960857,44
118,26.844076567340903,42
119,26.69247200320858,43
120,26.541553431259366,43
121,26.391318520832,42
122,26.24176494655015,41
123,26.092890388316416,41
124,25.94469253130637,39
125,25.79716906596251,41
126,25.650317687988284,39
127,25.504136098342098,39
128,25.358622003231297,37
129,25.213773114106186,35
