Iteration,Temp,Cost
0,150,46
1,150.0,45
2,148.5060876127944,47
3,147.0241025982336,45
4,145.55397339236887,45
5,144.09562871808032,41
6,142.648997584501,41
7,141.2140092864409,41
8,139.790593403811,40
9,138.37867980104727,42
10,136.9781986265349,41
11,135.589080312032,41
12,134.21125557209393,40
13,132.84465540349723,41
14,131.48921108466362,42
15,130.1448541750841,43
16,128.811516514743,42
17,127.48913022354195,40
18,126.17762770072396,39
19,124.87694162429749,39
20,123.58700495046037,37
21,122.30775091302401,38
22,121.03911302283733,39
23,119.78102506721076,42
24,118.53342110934044,43
25,117.29623548773205,43
26,116.06940281562501,41
27,114.85285798041645,39
28,113.64653614308526,39
29,112.45037273761612,36
30,111.26430347042358,35
31,110.088264319776,36
32,108.92219153521974,38
33,107.76602163700304,36
34,106.61969141550013,37
35,105.48313793063535,39
36,104.35629851130702,38
37,103.23911075481158,36
38,102.13151252626767,37
39,101.03344195804007,39
40,99.94483744916376,41
41,98.86563766476802,39
42,97.7957815355004,40
43,96.7352082569508,39
44,95.6838572890755,39
45,94.6416683556212,41
46,93.60858144354901,40
47,92.58453680245857,41
48,91.56947494401201,42
49,90.56333664135808,40
50,89.5660629285561,38
51,88.57759510000001,36
52,87.59787470984249,38
53,86.6268435714189,40
54,85.66444375667137,40
55,84.71061759557281,37
56,83.765307675551,34
57,82.82845684091258,35
58,81.90000819226707,35
59,80.97990508595099,36
60,80.06809113345179,35
61,79.16451020083201,35
62,78.26910640815322,36
63,77.38182412890012,37
64,76.50260798940451,38
65,75.63140286826939,38
66,74.768153895793,37
67,73.91280645339283,36
68,73.06530617302964,37
69,72.22559893663156,38
70,71.39363087551804,39
71,70.56934836982401,38
72,69.7526980479238,38
73,68.94362678585526,39
74,68.14208170674371,41
75,67.34801018022613,40
76,66.56135982187502,42
77,65.78207849262253,42
78,65.01011429818453,40
79,64.2454155884846,39
80,63.48793095707805,41
81,62.737609240576,40
82,61.99439951806941,40
83,61.2582511105531,41
84,60.52911358034981,41
85,59.80693673053422,42
86,59.091670604357006,41
87,58.383265484668854,41
88,57.68167189334455,40
89,56.98684059070693,41
90,56.29872257495103,39
91,55.617269081568,38
92,54.94243158276927,36
93,54.274161786910476,34
94,53.612411637915585,34
95,52.95713331470087,36
96,52.308279230599,37
97,51.665802032783034,39
98,51.02965460169048,40
99,50.39979005044735,40
100,49.776161724292166,41
101,49.158723200000004,40
102,48.547428285306566,40
103,47.94223101833217,41
104,47.34308566700584,42
105,46.749946728489284,41
106,46.162768928601,42
107,45.581507221240244,41
108,45.00611678781114,41
109,44.43655303664664,41
110,43.87277160243266,40
111,43.314728345632,39
112,42.76237935190849,38
113,42.21568093155099,38
114,41.67458961889737,39
115,41.13906217175866,38
116,40.609055570843005,38
117,40.08452701917971,39
118,39.56543394154331,38
119,39.051733983877625,37
120,38.54338501271971,39
121,38.040345114624,40
122,37.54257259558627,39
123,37.05002598046772,39
124,36.56266401241899,38
125,36.0804456523042,39
126,35.603330078125,38
127,35.1312766844446,38
128,34.66424508181181,40
129,34.20219509618508,42
130,33.74508676835653,43
131,33.292880353376,40
132,32.84553631997509,39
133,32.40301534999118,40
134,31.96527833779149,41
135,31.5322863896971,40
136,31.104000823407002,39
137,30.68038316742214,40
138,30.26139516046943,40
139,29.846998750925817,39
140,29.437156096242308,40
141,29.031829562368003,38
142,28.630981723174145,41
143,28.234575359878157,42
144,27.842573460467666,42
145,27.454939219124554,40
146,27.071636035649,39
147,26.692627514883515,39
148,26.317877466136963,38
149,25.947349902608636,39
150,25.58100904081224,39
151,25.218819300000003,40
152,24.860745301586643,39
153,24.506751868573453,39
154,24.15680402497232,40
155,23.81086699522977,39
156,23.468906203651002,41
157,23.130887273823934,41
158,22.796776028043222,41
159,22.46653848673433,41
160,22.14014086787754,43
161,21.817549586432005,41
162,21.49873125375978,43
163,21.18365267704987,45
164,20.872280858742258,45
165,20.564582995951948,42
166,20.260526479893002,40
167,19.960078895302587,38
168,19.663208019864996,39
169,19.369881823635705,37
170,19.080068468465395,38
171,18.793736307424005,42
172,18.510853884224755,39
173,18.231389932648206,40
174,17.955313375966274,40
175,17.68259332636628,40
176,17.413199084375,37
177,17.14710013828268,40
178,16.88426616356709,38
179,16.62466702231756,41
180,16.36827276265901,38
181,16.115053618176002,38
182,15.864980007336769,38
183,15.618022532917259,39
184,15.374151981425166,37
185,15.133339322523977,39
186,14.895555708457,40
187,14.660772473471416,41
188,14.428961133242307,40
189,14.200093384296693,41
190,13.974141103437585,41
191,13.751076347168002,43
192,13.530871351115024,42
193,13.313498529453835,41
194,13.098930474331743,42
195,12.887139955292232,42
196,12.678099918699,44
197,12.471783487159993,44
198,12.268163958951444,44
199,12.06721480744191,42
200,11.86890968051632,42
201,11.6732224,41
202,11.480126961082721,40
203,11.28959753174273,42
204,11.1016084521708,44
205,10.91613423419425,43
206,10.733149560701001,43
207,10.552629285063608,41
208,10.374548430563298,39
209,10.198882189814006,39
210,10.025605924186417,41
211,9.854695163232,38
212,9.686125604107056,37
213,9.519873110996746,37
214,9.355913714539135,37
215,9.194223611249223,36
216,9.034779162943,34
217,8.877556896161465,36
218,8.722533501594674,37
219,8.569685833505782,37
220,8.418990909155072,35
221,8.270425908224,35
222,8.123968172239232,36
223,7.979595203996682,38
224,7.83728466698555,39
225,7.69701438481236,37
226,7.558762340625001,38
227,7.422506676536761,37
228,7.288225693050371,35
229,7.155897848482038,37
230,7.025501758385488,38
231,6.8970161949760005,38
232,6.770420086554449,39
233,6.645692516931338,41
234,6.522812724850845,42
235,6.401760103414856,41
236,6.282514199507,42
237,6.165054713216697,42
238,6.0493614972631855,44
239,5.935414556419574,44
240,5.823194046936864,46
241,5.712680275967999,46
242,5.6038537009919045,45
243,5.496694929237514,45
244,5.391184717107822,45
245,5.287303969603912,45
246,5.1850337397490005,45
247,5.084355228012472,43
248,4.985249781733922,45
249,4.8876988945471895,42
250,4.7916842058044,42
251,4.6971875,41
252,4.6041907061948,40
253,4.51267589744001,40
254,4.422625290201278,38
255,4.334021243782727,39
256,4.246846259751,40
257,4.1610829813592884,41
258,4.076714192971378,40
259,3.9937228194856855,41
260,3.912091925759296,42
261,3.831804716032,43
262,3.752844533350336,44
263,3.675194858991626,41
264,3.5988393118880135,42
265,3.5237616480505034,41
266,3.4499457599929997,42
267,3.3773756761563445,40
268,3.3060355603323544,38
269,3.2359097110878614,37
270,3.166982561188752,37
271,3.099238677024,37
272,3.032662758029712,36
273,2.9672396361131623,35
274,2.90295427507683,33
275,2.8397917700424395,33
276,2.777737346875,33
277,2.7167763616068403,32
278,2.65689429986165,29
279,2.5980767762785177,29
280,2.540309533935968,30
281,2.483578443776,32
282,2.4278695040281284,32
283,2.373168839633418,30
284,2.3194627016685256,30
285,2.2667374667697358,32
286,2.214979636557,35
287,2.1641758370579764,34
288,2.114312818132066,34
289,2.0653774528944537,32
290,2.0173567371401435,31
291,1.970237788768,33
292,1.9240078472047843,33
293,1.8786542728291944,33
294,1.8341645463959018,33
295,1.7905262684595917,32
296,1.747727158799,32
297,1.7057550558409524,32
298,1.6645979160844022,34
299,1.62424381352447,34
300,1.5846809390764798,35
301,1.5458976000000002,37
302,1.5078822193228805,37
303,1.4706233352652902,35
304,1.4341096006637577,33
305,1.3983297823952077,31
306,1.363272760801,31
307,1.3289275291109686,31
308,1.2952831928674582,31
309,1.262328969349366,31
310,1.2300541869961759,30
311,1.1984482848320002,31
312,1.1675008118896164,32
313,1.1372014266345063,31
314,1.1075398963888938,33
315,1.0785060967557838,33
316,1.050090011043,31
317,1.0222817296872244,31
318,0.9950714496780343,30
319,0.9684494739819418,29
320,0.9424062109664317,29
321,0.916932173824,29
322,0.8920179799961924,28
323,0.8676543505976423,29
324,0.8438321098401098,29
325,0.8205421844565198,29
326,0.7977756031250001,31
327,0.7755234958929204,31
328,0.7537770936009303,30
329,0.7325277273069979,30
330,0.7117668277104477,29
331,0.6914859245760001,29
332,0.6716766461578084,29
333,0.6523307186234983,28
334,0.6334399654782058,26
335,0.6149963069886157,26
336,0.5969917596070001,26
337,0.5794184353952564,26
338,0.5622685414489462,26
339,0.5455343793213338,26
340,0.5292083444474237,25
341,0.513282925568,24
342,0.49775070415366435,23
343,0.4826043538288743,23
344,0.4678366397959818,23
345,0.45344041825927167,21
346,0.4394086358490001,21
347,0.42573432904543235,20
348,0.4124106236028823,20
349,0.3994307339737498,20
350,0.3867879627325597,20
351,0.3744757,19
352,0.36248742286696034,18
353,0.3508166948185703,15
354,0.33945716515823776,14
355,0.3284025684316877,14
356,0.317646723851,14
