Iteration,Temp,Cost
0,50,38
1,50.0,38
2,49.750549400349904,37
3,49.5020956047976,37
4,49.254635622933804,35
5,49.00816647033601,35
6,48.76268516856253,38
7,48.518188745146475,38
8,48.27467423358977,37
9,48.032138673357125,37
10,47.79057910987009,37
11,47.549992594501,35
12,47.310376184567005,36
13,47.07172694332409,37
14,46.83404193996101,36
15,46.59731824959338,40
16,46.36155295325759,41
17,46.12674313790488,42
18,45.8928858963953,42
19,45.65997832749169,44
20,45.42801753585376,43
21,45.197000632032,42
22,44.96692473246174,42
23,44.73778695945713,42
24,44.50958444120516,43
25,44.28231431175962,43
26,44.05597371103516,46
27,43.83055978480122,47
28,43.606069684676086,49
29,43.3825005681209,47
30,43.15984959843362,49
31,42.938113944743,49
32,42.71729078200269,49
33,42.49737729098514,51
34,42.278370658275655,53
35,42.060268076266354,51
36,41.84306674315022,50
37,41.62676386291506,50
38,41.41135664533754,48
39,41.19684230597715,48
40,40.983218066170245,47
41,40.770481153024,46
42,40.558628799410464,48
43,40.34765824396052,48
44,40.13756673105788,48
45,39.92835151083316,49
46,39.72000983915778,50
47,39.51253897763803,50
48,39.30593619360905,49
49,39.10019876012884,47
50,38.89532395597225,47
51,38.691309065625,46
52,38.48815137927765,46
53,38.285848192819635,46
54,38.08439680783326,43
55,37.88379453158765,44
56,37.684038677032845,44
57,37.48512656279372,43
58,37.28705551316402,44
59,37.08982285810037,44
60,36.89342593321624,43
61,36.697862079775994,45
62,36.50312864468886,45
63,36.30922298050292,46
64,36.11614244539917,46
65,35.92388440318542,47
66,35.73244622329041,46
67,35.54182528075772,45
68,35.35201895623985,46
69,35.16302463599214,45
70,34.974839711866814,46
71,34.787461581307,46
72,34.60088764734069,45
73,34.41511531857477,44
74,34.23014200918902,44
75,34.045965138930065,45
76,33.86258213310547,45
77,33.67999042257765,45
78,33.49818744375794,46
79,33.317170638600544,47
80,33.13693745459656,47
81,32.957485344768,49
82,32.77881176766174,48
83,32.600914187343584,48
84,32.423790073392205,48
85,32.24743690089319,47
86,32.07185215043303,46
87,31.897033308093103,47
88,31.722977865443696,46
89,31.549683319537994,46
90,31.3771471729061,45
91,31.205366933549005,43
92,31.03434011493262,43
93,30.864064235981758,44
94,30.69453682107414,42
95,30.525755400034406,44
96,30.357717508128097,43
97,30.19042068605567,42
98,30.023862479946505,43
99,29.858040441352884,43
100,29.69295212724401,43
101,29.5285951,43
102,29.36496692740591,42
103,29.202065182645683,41
104,29.039887444296212,39
105,28.878431296321295,41
106,28.71769432806566,41
107,28.557674134248963,43
108,28.39836831495978,43
109,28.239774475649607,42
110,28.081890227126898,41
111,27.924713185551,42
112,27.768240972426216,42
113,27.61247121459577,40
114,27.45740154423582,39
115,27.30302959884946,40
116,27.149353021260723,39
117,26.99636945960857,39
118,26.844076567340903,41
119,26.69247200320858,41
120,26.541553431259366,42
121,26.391318520832,41
122,26.24176494655015,41
123,26.092890388316416,41
124,25.94469253130637,42
125,25.79716906596251,43
126,25.650317687988284,40
127,25.504136098342098,40
128,25.358622003231297,40
129,25.213773114106186,41
130,25.069587147654016,41
131,24.926061825793003,41
132,24.783194875666297,40
133,24.640984029636027,43
134,24.499427025277264,41
135,24.358521605372037,39
136,24.218265517903347,38
137,24.078656516049143,39
138,23.939692358176348,40
139,23.801370807834836,38
140,23.66368963375145,39
141,23.526646609824002,41
142,23.39023951511527,42
143,23.254466133846993,39
144,23.11932425539389,38
