Iteration,Temp,Cost
0,100,39
1,100.0,38
2,99.004091608796,39
3,98.0161345342848,37
4,97.03608106875768,38
5,96.06388369571873,40
6,95.099495089501,39
7,94.14286811488249,40
8,93.19395582670218,40
9,92.25271146947608,41
10,91.3190884770133,37
11,90.393040472032,35
12,89.47452126577554,35
13,88.56348485762842,35
14,87.65988543473242,36
15,86.76367737160251,38
16,85.874815229743,40
17,84.99325375726355,42
18,84.11894788849516,42
19,83.25185274360626,40
20,82.39192362821875,40
21,81.539116033024,42
22,80.69338563339892,44
23,79.85468828902196,43
24,79.02298004348923,44
25,78.19821712393045,42
26,77.380355940625,41
27,76.56935308661804,43
28,75.76516533733646,46
29,74.96774965020492,44
30,74.17706316426197,42
31,73.393063199776,44
32,72.61570725786133,43
33,71.84495302009422,41
34,71.08075834812892,39
35,70.32308128331374,39
36,69.571880046307,40
37,68.82711303669318,38
38,68.08873883259886,38
39,67.35671619030886,41
40,66.63100404388214,40
41,65.911561504768,38
42,65.198347861422,38
43,64.491322578922,38
44,63.790445298584295,37
45,63.095675837579584,38
46,62.406974188549,37
47,61.72430051922015,38
48,61.0476151720232,38
49,60.37687866370686,39
50,59.71205168495448,39
51,59.05309509999999,38
52,58.39996994624407,35
53,57.75263743387009,33
54,57.11105894546016,32
55,56.4751960356112,32
56,55.84501043055099,34
57,55.22046402775416,35
58,54.60151889555825,32
59,53.98813727277977,34
60,53.380281568330176,34
61,52.77791436083199,36
62,52.180998398234806,38
63,51.5894965974313,36
64,51.00337204387329,35
65,50.422587991187775,37
66,49.847107860792995,40
67,49.27689524151442,40
68,48.71191388920083,43
69,48.15212772634034,42
70,47.59750084167643,40
71,47.047997489824,41
72,46.50358209088539,40
73,45.96421923006644,40
74,45.429873657292504,40
75,44.90051028682452,41
76,44.376094196874995,42
77,43.856590629224115,42
78,43.34196498883573,42
79,42.83218284347339,44
80,42.327209923316445,45
81,41.82701212057599,43
82,41.331555489111004,44
83,40.840806244044295,41
84,40.354730761378605,43
85,39.87329557761261,42
86,39.396467389357,40
87,38.92421305295045,42
88,38.45649958407574,43
89,37.99329415737573,43
90,37.53456410606942,44
91,37.08027692156799,43
92,36.63040025309086,41
93,36.18490190728167,41
94,35.743749847824375,42
95,35.30691219505926,42
96,34.87435722559899,41
97,34.44605337194463,41
98,34.021969222101674,41
99,33.602073519196146,43
100,33.18633516109056,46
101,32.7747232,46
102,32.36720684210816,43
103,31.96375544718337,40
104,31.56433852819464,40
105,31.168925750927688,39
106,30.777486933601,39
107,30.389992046481847,37
108,30.00641121150234,36
109,29.626714701875446,36
110,29.250872941711055,35
111,28.878856505632,37
112,28.510636118390096,36
113,28.14618265448219,36
114,27.785467137766172,37
115,27.42846074107706,39
116,27.075134785843,41
117,26.72546074170131,42
118,26.379410226114512,42
119,26.036955003986424,42
120,25.69806698727811,42
121,25.362718234624,40
122,25.030880950947875,44
123,24.702527487078925,45
124,24.37763033936779,45
125,24.056162149302597,44
126,23.738095703125,46
127,23.4234039314462,46
128,23.112059908863014,45
129,22.80403685357388,45
130,22.49930812699493,45
131,22.197847233376002,45
132,21.89962781941669,45
133,21.60462367388238,44
134,21.312808727220286,44
135,21.024157051175496,44
136,20.738642858407,44
137,20.45624050210374,46
138,20.17692447560063,46
139,19.900669411994613,45
140,19.627450083760706,43
141,19.357241402368,44
142,19.090018417895745,44
143,18.825756318649354,44
144,18.564430430776465,44
145,18.306016217882952,44
146,18.050489280649,44
147,17.797825356445113,42
148,17.548000318948162,42
149,17.30099017775743,38
150,17.056771078010637,39
151,16.8153193,38
152,16.57661125878824,36
153,16.34062350382465,36
154,16.107332718561118,38
155,15.876715720068166,40
156,15.648749458650999,40
157,15.423411017465527,40
158,15.200677612134418,39
159,14.980526590363125,40
160,14.762935431555935,42
161,14.547881746432001,40
162,14.335343276641376,39
163,14.125297894381067,40
164,13.917723602011053,42
165,13.712598531670343,41
166,13.509900944893,40
167,13.309609232224183,37
